d,null_late,late_min,not_late_min,late_pos,not_late_pos,very_late,not_very_late_lit,not_very_late_exhpos,not_very_late_exhmin
14.8,-4.31672362619872,-3.62357644563877,-Inf,-3.14353245806909,-5.61819013997447,-3.04768591800344,-5.2803206497724,-4.15445326163629,-4.31760147777518
15,-4.34652362619872,-3.65337644563877,-Inf,-3.16710014580221,-5.66909435814945,-3.06903782927629,-5.32749792938227,-4.20092677337894,-4.36477979810719
15.2,-4.37672362619872,-3.68357644563877,-Inf,-3.19121023614143,-5.72039857552462,-3.09098109902358,-5.37508580575495,-4.24783100024942,-4.41236769529091
15.4,-4.40732362619872,-3.71417644563877,-Inf,-3.21585833427315,-5.77210279209995,-3.11350980344283,-5.42308400341082,-4.29516489488613,-4.46036591398352
15.6,-4.43832362619872,-3.74517644563877,-Inf,-3.24104022379553,-5.82420700787546,-3.13661826160796,-5.4714922566511,-4.34292737474928,-4.50877418848626
15.8,-4.46972362619872,-3.77657644563877,-Inf,-3.26675185752976,-5.87671122285115,-3.16030102277393,-5.52031030911247,-4.39111764884472,-4.55759226243581
16,-4.50152362619872,-3.80837644563877,-Inf,-3.29298934890952,-5.929615437027,-3.18455396468025,-5.56953922868373,-4.43973472215198,-4.60681988838377
16.2,-4.53372362619872,-3.84057644563877,-Inf,-3.31974896390599,-5.98291965040303,-3.20936984955329,-5.61917615670721,-4.48877772134227,-4.65645682739946
16.4,-4.56632362619872,-3.87317644563877,-Inf,-3.34702711344865,-6.03662386297924,-3.23474495134926,-5.66922216688616,-4.538245810762,-4.7065028486944
16.6,-4.59932362619872,-3.90617644563877,-Inf,-3.37482034630612,-6.09072807475562,-3.26067462845417,-5.71967703621915,-4.58813819040284,-4.75695772926716
